"filename", "language", "CSS", "PHP", "JavaScript", "JSON", "Markdown", "Ini", "comment", "blank", "total"
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\assets\js\postmessage.js", "JavaScript", 0, 0, 113, 0, 0, 0, 8, 14, 135
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\config.php", "PHP", 0, 257, 0, 0, 0, 0, 77, 58, 392
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\class-freemius-abstract.php", "PHP", 0, 118, 0, 0, 0, 0, 414, 65, 597
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\class-freemius.php", "PHP", 0, 13543, 0, 0, 0, 0, 8022, 3762, 25327
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\class-fs-admin-notices.php", "PHP", 0, 148, 0, 0, 0, 0, 145, 28, 321
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\class-fs-api.php", "PHP", 0, 285, 0, 0, 0, 0, 286, 93, 664
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\class-fs-logger.php", "PHP", 0, 444, 0, 0, 0, 0, 144, 103, 691
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\class-fs-options.php", "PHP", 0, 197, 0, 0, 0, 0, 177, 57, 431
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\class-fs-plugin-updater.php", "PHP", 0, 867, 0, 0, 0, 0, 461, 234, 1562
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\class-fs-security.php", "PHP", 0, 42, 0, 0, 0, 0, 34, 10, 86
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\class-fs-storage.php", "PHP", 0, 250, 0, 0, 0, 0, 219, 63, 532
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\class-fs-user-lock.php", "PHP", 0, 46, 0, 0, 0, 0, 62, 18, 126
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\customizer\class-fs-customizer-support-section.php", "PHP", 0, 56, 0, 0, 0, 0, 32, 14, 102
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\customizer\class-fs-customizer-upsell-control.php", "PHP", 0, 106, 0, 0, 0, 0, 33, 22, 161
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\customizer\index.php", "PHP", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\debug\class-fs-debug-bar-panel.php", "PHP", 0, 42, 0, 0, 0, 0, 14, 9, 65
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\debug\debug-bar-start.php", "PHP", 0, 32, 0, 0, 0, 0, 13, 7, 52
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\debug\index.php", "PHP", 0, 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-affiliate-terms.php", "PHP", 0, 38, 0, 0, 0, 0, 81, 9, 128
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-affiliate.php", "PHP", 0, 28, 0, 0, 0, 0, 46, 10, 84
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-billing.php", "PHP", 0, 30, 0, 0, 0, 0, 57, 8, 95
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-entity.php", "PHP", 0, 68, 0, 0, 0, 0, 71, 20, 159
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-payment.php", "PHP", 0, 58, 0, 0, 0, 0, 96, 14, 168
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-plugin-info.php", "PHP", 0, 21, 0, 0, 0, 0, 9, 4, 34
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-plugin-license.php", "PHP", 0, 96, 0, 0, 0, 0, 207, 28, 331
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-plugin-plan.php", "PHP", 0, 48, 0, 0, 0, 0, 86, 11, 145
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\includes\entities\class-fs-plugin-tag.php", "PHP", 0, 22, 0, 0, 0, 0, 33, 5, 60
