"filename", "language", "PHP", "Markdown", "JSON", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\package.json", "JSON", 0, 0, 27, 0, 0, 0, 1, 28
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\require.php", "PHP", 37, 0, 0, 0, 0, 9, 3, 49
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\start.php", "PHP", 249, 0, 0, 0, 0, 212, 69, 530
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\account.php", "PHP", 921, 0, 0, 0, 0, 60, 115, 1096
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\account\billing.php", "PHP", 390, 0, 0, 0, 0, 12, 21, 423
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\account\index.php", "PHP", 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\account\partials\activate-license-button.php", "PHP", 37, 0, 0, 0, 0, 12, 5, 54
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\account\partials\addon.php", "PHP", 386, 0, 0, 0, 0, 19, 41, 446
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\account\partials\deactivate-license-button.php", "PHP", 21, 0, 0, 0, 0, 11, 4, 36
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\account\partials\index.php", "PHP", 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\account\partials\site.php", "PHP", 307, 0, 0, 0, 0, 19, 26, 352
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\account\payments.php", "PHP", 42, 0, 0, 0, 0, 10, 7, 59
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\add-ons.php", "PHP", 334, 0, 0, 0, 0, 100, 68, 502
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\add-trial-to-pricing.php", "PHP", 15, 0, 0, 0, 0, 13, 3, 31
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\admin-notice.php", "PHP", 56, 0, 0, 0, 0, 11, 10, 77
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\ajax-loader.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\auto-installation.php", "PHP", 195, 0, 0, 0, 0, 15, 40, 250
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\checkout.php", "PHP", 231, 0, 0, 0, 0, 58, 48, 337
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\connect.php", "PHP", 744, 0, 0, 0, 0, 124, 158, 1026
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\contact.php", "PHP", 73, 0, 0, 0, 0, 40, 15, 128
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\debug.php", "PHP", 680, 0, 0, 0, 0, 26, 54, 760
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\debug\api-calls.php", "PHP", 122, 0, 0, 0, 0, 19, 14, 155
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\debug\index.php", "PHP", 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\debug\logger.php", "PHP", 53, 0, 0, 0, 0, 9, 4, 66
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\debug\plugins-themes-sync.php", "PHP", 63, 0, 0, 0, 0, 8, 6, 77
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\debug\scheduled-crons.php", "PHP", 111, 0, 0, 0, 0, 13, 13, 137
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\email.php", "PHP", 38, 0, 0, 0, 0, 9, 2, 49
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\firewall-issues-js.php", "PHP", 39, 0, 0, 0, 0, 13, 7, 59
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\affiliation.php", "PHP", 417, 0, 0, 0, 0, 23, 69, 509
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\data-debug-mode.php", "PHP", 158, 0, 0, 0, 0, 20, 35, 213
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\deactivation\contact.php", "PHP", 11, 0, 0, 0, 0, 9, 4, 24
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\deactivation\form.php", "PHP", 396, 0, 0, 0, 0, 51, 97, 544
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\deactivation\index.php", "PHP", 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\deactivation\retry-skip.php", "PHP", 11, 0, 0, 0, 0, 9, 4, 24
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\index.php", "PHP", 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\license-activation.php", "PHP", 606, 0, 0, 0, 0, 118, 144, 868
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\optout.php", "PHP", 260, 0, 0, 0, 0, 21, 56, 337
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\premium-versions-upgrade-handler.php", "PHP", 149, 0, 0, 0, 0, 23, 33, 205
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\premium-versions-upgrade-metadata.php", "PHP", 31, 0, 0, 0, 0, 9, 7, 47
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\resend-key.php", "PHP", 185, 0, 0, 0, 0, 16, 47, 248
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\subscription-cancellation.php", "PHP", 211, 0, 0, 0, 0, 19, 47, 277
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\trial-start.php", "PHP", 128, 0, 0, 0, 0, 21, 33, 182
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\forms\user-change.php", "PHP", 215, 0, 0, 0, 0, 31, 51, 297
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\gdpr-optin-js.php", "PHP", 50, 0, 0, 0, 0, 9, 7, 66
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\index.php", "PHP", 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\js\index.php", "PHP", 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\js\jquery.content-change.php", "PHP", 36, 0, 0, 0, 0, 15, 7, 58
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\js\open-license-activation.php", "PHP", 24, 0, 0, 0, 0, 9, 4, 37
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\js\style-premium-theme.php", "PHP", 28, 0, 0, 0, 0, 14, 11, 53
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\partials\index.php", "PHP", 1, 0, 0, 0, 0, 1, 1, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\partials\network-activation.php", "PHP", 81, 0, 0, 0, 0, 4, 4, 89
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\plugin-icon.php", "PHP", 9, 0, 0, 0, 0, 9, 2, 20
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\plugin-info\description.php", "PHP", 61, 0, 0, 0, 0, 13, 4, 78
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\plugin-info\features.php", "PHP", 90, 0, 0, 0, 0, 16, 8, 114
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\plugin-info\index.php", "PHP", 1, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\plugin-info\screenshots.php", "PHP", 18, 0, 0, 0, 0, 13, 4, 35
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\powered-by.php", "PHP", 31, 0, 0, 0, 0, 24, 6, 61
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\pricing.php", "PHP", 144, 0, 0, 0, 0, 42, 23, 209
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\secure-https-header.php", "PHP", 25, 0, 0, 0, 0, 12, 2, 39
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\sticky-admin-notice-js.php", "PHP", 24, 0, 0, 0, 0, 10, 5, 39
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\tabs-capture-js.php", "PHP", 43, 0, 0, 0, 0, 12, 8, 63
"c:\xampp\htdocs\office\wp-content\plugins\wpgsi\includes\freemius\templates\tabs.php", "PHP", 132, 0, 0, 0, 0, 27, 31, 190
"Total", "-", 30609, 214, 27, 194, 14, 15792, 7342, 54192
